x	E1681
101.862	1.02735
102.012	1.02885
102.162	1.02754
102.311	1.02364
102.461	1.01783
102.611	1.01115
102.761	1.00453
102.911	0.998679
103.061	0.994004
103.211	0.990637
103.361	0.988541
103.511	0.987645
103.661	0.987937
103.811	0.989497
103.961	0.99246
104.111	0.996916
104.261	1.00272
104.311	1.00488
104.378	1.0079
104.462	1.01178
104.559	1.01616
104.667	1.02063
104.783	1.02447
104.905	1.02708
105.032	1.02789
105.164	1.0265
105.3	1.02301
105.438	1.01784
105.579	1.01168
105.722	1.00533
105.866	0.999472
106.011	0.994581
106.157	0.990877
106.304	0.988389
106.452	0.987067
106.6	0.986882
106.749	0.987888
106.897	0.990212
107.046	0.993982
107.196	0.999187
107.317	1.00425
107.443	1.01001
107.575	1.01593
107.71	1.02127
107.848	1.02516
107.988	1.0269
108.131	1.02613
108.275	1.0229
108.42	1.01772
108.566	1.01142
108.713	1.00488
108.86	0.998866
109.008	0.993875
109.157	0.990123
109.305	0.987623
109.454	0.986309
109.603	0.986145
109.753	0.98718
109.902	0.989541
110.052	0.993349
110.202	0.998592
110.323	1.00368
110.449	1.0094
110.58	1.01528
110.715	1.02055
110.852	1.02437
110.993	1.02604
111.135	1.0252
111.279	1.02191
111.424	1.0167
111.57	1.0104
111.716	1.0039
111.864	0.997931
112.012	0.992995
112.16	0.989297
112.309	0.986843
112.458	0.985566
112.607	0.98543
112.756	0.986487
112.906	0.988864
113.055	0.992684
113.205	0.997927
113.326	1.003
113.453	1.00875
113.585	1.01464
113.72	1.01988
113.858	1.02363
113.999	1.02519
114.141	1.02424
114.285	1.02086
114.43	1.0156
114.576	1.00928
114.723	1.0028
114.871	0.996896
115.019	0.992039
115.167	0.988421
115.316	0.98604
115.465	0.984825
115.614	0.984745
115.764	0.985854
115.913	0.988284
116.063	0.992154
116.212	0.997436
116.326	1.00221
116.448	1.00769
116.575	1.01339
116.706	1.01854
116.842	1.02238
116.98	1.02419
117.12	1.02361
117.263	1.02061
117.407	1.01567
117.552	1.00954
117.698	1.0031
117.845	0.997108
117.993	0.992084
118.141	0.988265
118.289	0.985676
118.438	0.984254
118.587	0.983954
118.736	0.984831
118.885	0.987
119.035	0.990584
119.184	0.995594
119.334	1.00177
119.484	1.00853
119.634	1.01499
119.783	1.02013
119.933	1.02304
120.083	1.02322
120.233	1.02066
120.383	1.01583
120.533	1.00962
120.683	1.00301
120.833	0.996843
120.983	0.991676
121.133	0.987756
121.283	0.985101
121.433	0.983636
121.583	0.983304
121.733	0.984139
121.883	0.98626
122.033	0.989809
122.183	0.994799
122.333	1.00097
122.483	1.00772
122.633	1.01417
122.783	1.0193
122.933	1.02221
123.083	1.0224
123.233	1.01984
123.383	1.01505
123.533	1.00887
123.683	1.00229
123.833	0.996135
123.983	0.990988
124.133	0.987087
124.283	0.984449
124.433	0.982994
124.583	0.982665
124.733	0.983495
124.883	0.985604
125.033	0.989127
125.183	0.994087
125.333	1.00024
125.483	1.00697
125.633	1.01341
125.783	1.01853
125.933	1.02143
126.083	1.02161
126.233	1.01905
126.383	1.01427
126.533	1.00812
126.683	1.00157
126.833	0.995439
126.983	0.990311
127.133	0.986429
127.283	0.983807
127.433	0.982363
127.583	0.982037
127.733	0.982862
127.883	0.98496
128.033	0.988465
128.183	0.9934
128.333	0.999525
128.483	1.00626
128.633	1.01269
128.783	1.01779
128.933	1.02069
129.083	1.02086
129.233	1.0183
129.383	1.01353
129.533	1.0074
129.683	1.00087
129.833	0.994772
129.983	0.989661
130.133	0.985784
130.283	0.983177
130.433	0.981743
130.583	0.98142
130.733	0.982241
130.883	0.984328
131.033	0.987817
131.183	0.992729
131.333	0.998827
131.483	1.00553
131.633	1.01196
131.783	1.01709
131.933	1.01998
132.083	1.02014
132.233	1.01758
132.383	1.01282
132.533	1.0067
132.683	1.00019
132.833	0.994122
132.983	0.989039
133.133	0.985185
133.283	0.982575
133.433	0.981135
133.583	0.980815
133.733	0.981633
133.883	0.98371
134.033	0.987183
134.183	0.992075
134.333	0.998151
134.483	1.00482
134.633	1.01123
134.783	1.01635
134.933	1.01928
135.083	1.01946
135.233	1.0169
135.383	1.01213
135.533	1.00603
135.683	0.99954
135.833	0.993491
135.983	0.988432
136.133	0.9846
136.283	0.982007
136.433	0.980571
136.583	0.980233
136.733	0.981038
136.883	0.983105
137.033	0.986565
137.183	0.99144
137.333	0.997496
137.483	1.00415
137.633	1.01053
137.783	1.01563
137.933	1.01854
138.083	1.01875
138.233	1.01624
138.383	1.01148
138.533	1.00538
138.683	0.998906
138.833	0.992875
138.983	0.987838
139.133	0.984026
139.283	0.98145
139.433	0.980024
139.583	0.979689
139.733	0.980479
139.883	0.982517
140.033	0.985962
140.183	0.990822
140.333	0.996863
140.483	1.0035
140.633	1.00986
140.783	1.01494
140.933	1.01784
141.083	1.01804
141.233	1.01553
141.383	1.01082
141.533	1.00476
141.683	0.99829
