x	E1681
67.6486	1.00244
67.7974	1.0072
67.9465	1.01282
68.0958	1.01931
68.2452	1.0267
68.3805	1.03412
68.3919	1.03478
68.4179	1.03629
68.4687	1.03932
68.5	1.04125
68.5865	1.04148
68.6857	1.04169
68.7951	1.04188
68.9126	1.04205
69	1.04217
69.1292	1.03491
69.2626	1.02788
69.3992	1.02124
69.5386	1.01507
69.6801	1.00941
69.8233	1.00428
69.9678	0.999705
70	0.998773
70.1465	0.998308
70.2937	0.997923
70.4415	0.997585
70.5	0.997457
70.6486	1.00129
70.7974	1.00601
70.9465	1.01159
71.0958	1.01805
71.2452	1.0254
71.3876	1.03322
71.4037	1.03414
71.4263	1.03546
71.4743	1.03834
71.5	1.03991
71.5848	1.04015
71.6826	1.04036
71.7908	1.04055
71.9074	1.04072
72	1.04084
72.1286	1.03365
72.2615	1.02667
72.3978	1.02008
72.5369	1.01395
72.6781	1.00832
72.8211	1.00323
72.9655	0.998685
73	0.997695
73.1464	0.99723
73.2935	0.996845
73.4412	0.996507
73.5	0.996379
73.6485	1.00018
73.7974	1.00485
73.9464	1.01041
74.0957	1.01683
74.2451	1.02415
74.3946	1.03235
74.4147	1.0335
74.4411	1.03505
74.4922	1.03814
74.5	1.03862
74.5867	1.03886
74.6861	1.03907
74.7956	1.03927
74.9132	1.03945
75	1.03956
75.1293	1.03236
75.2627	1.02539
75.3994	1.01882
75.5388	1.01271
75.6803	1.00711
75.8235	1.00206
75.9681	0.997557
76	0.996649
76.1465	0.996183
76.2937	0.995798
76.4415	0.995461
76.5	0.995333
76.6486	0.999096
76.7974	1.00374
76.9465	1.00926
76.9963	1.01128
77.0661	1.01429
77.1519	1.01826
77.2506	1.02319
77.3595	1.02908
77.4153	1.03226
77.4811	1.03617
77.5	1.03732
77.5961	1.03759
77.7029	1.03782
77.8184	1.03803
77.9408	1.03821
78	1.03829
78.1323	1.03095
78.2682	1.0239
78.4069	1.01729
78.5478	1.01119
78.6906	1.00562
78.8348	1.00061
78.9802	0.996164
79	0.995609
79.147	0.995143
79.2947	0.994758
79.4428	0.994421
79.5	0.994297
79.6488	0.998032
79.7978	1.00265
79.947	1.00814
80.0039	1.01045
80.0795	1.01372
80.1699	1.01794
80.2722	1.02312
80.3841	1.02926
80.4282	1.03179
80.4936	1.0357
80.5	1.03609
80.5958	1.03636
80.7025	1.03659
80.8178	1.0368
80.94	1.03699
81	1.03707
81.1322	1.02976
81.268	1.02274
81.4067	1.01617
81.5476	1.0101
81.6903	1.00456
81.8345	0.999584
81.9798	0.995174
82	0.994614
82.147	0.994148
82.2946	0.993764
82.4427	0.993428
